iter	Passed	Remaining
0	0	93
1	1	83
2	2	79
3	3	75
4	3	71
5	4	68
6	4	66
7	5	64
8	6	62
9	6	61
10	7	59
11	8	58
12	8	57
13	9	56
14	9	55
15	10	55
16	11	54
17	11	53
18	12	52
19	12	51
20	13	50
21	14	49
22	14	49
23	15	48
24	15	47
25	16	46
26	17	46
27	17	45
28	18	44
29	18	44
30	19	43
31	20	42
32	20	41
33	21	41
34	21	40
35	22	39
36	23	39
37	23	38
38	24	38
39	24	37
40	25	36
41	26	36
42	26	35
43	27	34
44	27	34
45	28	33
46	29	32
47	29	32
48	30	31
49	30	30
50	31	30
51	32	29
52	32	29
53	33	28
54	33	27
55	34	27
56	35	26
57	35	25
58	36	25
59	36	24
60	37	24
61	38	23
62	38	22
63	39	22
64	39	21
65	40	20
66	41	20
67	41	19
68	42	19
69	42	18
70	43	17
71	44	17
72	44	16
73	45	15
74	46	15
75	46	14
76	47	14
77	47	13
78	48	12
79	49	12
80	49	11
81	50	11
82	50	10
83	51	9
84	52	9
85	52	8
86	53	7
87	53	7
88	54	6
89	55	6
90	55	5
91	56	4
92	57	4
93	57	3
94	58	3
95	58	2
96	59	1
97	60	1
98	60	0
99	61	0
